Name,Description,Weight,Minimum Order,Category,Grade,Image (file or URL)
Pommes Frites,"Premium Egyptian frozen potato fries made from carefully selected high-quality potatoes. Produced using advanced IQF freezing technology to ensure crispy texture, natural flavor, and consistent size. Ideal for restaurants, hotels, catering services, and fast-food chains. Easy to prepare and delivers excellent taste and golden color after frying.",2.5 kg,,French fries,,https://drive.google.com/file/d/1sh3VuLhKwLS37QWXZ3m9BPILDuxWO94P/view?usp=sharing
Okra Extra,"High-quality Egyptian frozen okra, carefully selected and cleaned, then individually quick frozen (IQF) to maintain natural flavor, color, and texture. Suitable for home cooking, restaurants, and export markets.",,,Veggie,,https://drive.google.com/file/d/1MCMM94cyojuB-TR1lhI9upE7vaiKuYGk/view?usp=sharing
Broccoli,"High-quality Egyptian frozen broccoli florets, harvested at peak freshness and immediately frozen using IQF technology to lock in nutrients, color, and flavor. Cleaned, cut, and ready to cook. Suitable for professional kitchens, retail, and export.",,,Veggie,,https://drive.google.com/file/d/1H95I0mg4MG-5HOQi0QaqNYAgSfP8Npzj/view?usp=sharing
Green Peas,"Egyptian frozen green peas, carefully selected and IQF frozen to preserve sweetness, freshness, and vibrant green color. Perfect for cooking, food service, and export.",,,Veggie,,https://drive.google.com/file/d/1R_6wCALfcHl3pbDoQW8NExqbT5vxHK91/view?usp=sharing
Peas & carrots,"High-quality Egyptian frozen peas and carrots, evenly cut and mixed, then IQF frozen to maintain taste, texture, and nutritional value. Convenient and ready to cook.",,,Veggie,,https://drive.google.com/file/d/1bgaRpBItZVpPlBY93e-CSj79YeSU0sa4/view?usp=sharing
Sweet Corn,"Premium Egyptian frozen sweet corn kernels, processed and IQF frozen to lock in natural sweetness, color, and freshness. Suitable for salads, cooking, and food processing.",,,Veggie,,https://drive.google.com/file/d/1LuWI3vfxDDCmt9dYoYYSBKm8lW1c_W0Q/view?usp=sharing
Green Spinach,"Egyptian frozen spinach, carefully cleaned, chopped, and frozen using IQF technology to preserve natural taste, green color, and nutrients. Ready to cook and easy to use.",,,Veggie,,https://drive.google.com/file/d/1Nut14qgdWqo93Qje1kWIG575D9nRam-Z/view?usp=sharing
Strawberry,"Premium Egyptian frozen whole strawberries, carefully selected and individually quick frozen (IQF) to preserve natural sweetness, texture, and aroma. Perfect for desserts, smoothies, bakeries, and food processing applications.",,,Fruit,,https://drive.google.com/file/d/1sXJRt2sN3FRh9UyrWAGWPFfaos9ALmvc/view?usp=sharing
Taro,"High-quality Egyptian frozen taro cubes, peeled, cut, and IQF frozen to preserve texture and natural flavor. Suitable for traditional dishes and professional kitchens.",,,Veggie,,https://drive.google.com/file/d/1gznSQzmqbwrJdXjpM_hGh12z6_K8Q5pF/view?usp=sharing
Colored Papper,"Egyptian frozen mixed colored peppers, cleaned, sliced, and IQF frozen to preserve vibrant colors, flavor, and freshness. Perfect for cooking and food service use.",,,Veggie,,https://drive.google.com/file/d/1EkXklVcJwFWLLLHSgfQSSTEB7R8Skg37/view?usp=sharing
Cherry,"Premium Egyptian frozen pitted cherries, IQF frozen to maintain natural taste, color, and texture. Ideal for desserts, pastries, and food processing.",,,Fruit,,https://drive.google.com/file/d/1LFj5UYQHUusjc4ds9mMOVp2ZNkzPA4Me/view?usp=sharing
Sliced Zucchini,"Egyptian frozen zucchini, evenly sliced and IQF frozen to retain freshness, texture, and natural flavor. Ready to cook and suitable for various dishes.",,,Veggie,,https://drive.google.com/file/d/1314IKQSLrxuzKtxUfGSsjzPGit6IYL0T/view?usp=sharing
Mango,"Premium Egyptian frozen mango chunks, carefully selected and IQF frozen to preserve natural sweetness, aroma, and color. Ideal for juices, smoothies, desserts, and food processing.",,,Fruit,,https://drive.google.com/file/d/1Q0ke767_AtvaiCk8uhpkj1RnN-F_5qGr/view?usp=sharing
Apricot,"High-quality Egyptian frozen apricot halves, IQF frozen to maintain natural taste, texture, and nutritional value. Suitable for desserts and bakery applications.",,,Fruit,,https://drive.google.com/file/d/1UY_srTHvIyQRpGh-kYsmZjYizG_lnMzD/view?usp=sharing
Molokhia Paper,"Authentic Egyptian molokhia leaves, freshly harvested, carefully packed, and frozen to preserve traditional taste, aroma, and green color. Ready to cook and export-quality.",,,Fresh,,https://drive.google.com/file/d/1-MWyS1x1rI7Rcqb93sKuvRDeLIs_GWS1/view?usp=sharing
Molokhia Frozen,"Premium Egyptian frozen molokhia, finely cut and IQF frozen to maintain authentic flavor, aroma, and vibrant green color. Ideal for households, restaurants, and export markets.",,,Veggie,,https://drive.google.com/file/d/1UU14L6HDPtkooMyXX6sh9ymwxTzkvVvw/view?usp=sharing
Grape Leaves,"Carefully selected Egyptian grape leaves, cleaned and frozen to preserve softness and natural flavor. Ideal for stuffing dishes and traditional cuisines.",,,Veggie,,https://drive.google.com/file/d/15aKR7nyxrnoCxwB40p0oOzqePqYUbvAp/view?usp=sharing
Crispy Onions,"High-quality Egyptian frozen onion slices, processed and frozen to maintain texture and flavor. Suitable for cooking, toppings, and food service use.",,,Veggie,,https://drive.google.com/file/d/1oKYkIiNzcZ5W0gOi_8v1rxESjooWxzgG/view?usp=sharing
Sliced Carrots,"Egyptian frozen sliced carrots, evenly cut and IQF frozen to preserve natural sweetness, color, and nutrients. Ready to cook and easy to use.",,,Veggie,,https://drive.google.com/file/d/1Nooik8_PTH6EIUSiSe61g97vzRYzep9X/view?usp=sharing
Artichoke,"Premium Egyptian frozen artichoke bottoms, carefully cleaned and IQF frozen to maintain texture, taste, and quality. Ideal for professional kitchens and export.",,,Veggie,,https://drive.google.com/file/d/1z7fv245j_6sImXrl4lk715URKWBbYttB/view?usp=sharing
Mixed Vegetables,"High-quality Egyptian frozen mixed vegetables, carefully selected, cut, and IQF frozen to preserve freshness, color, and nutritional value. Convenient and ready to cook.",,,Veggie,,https://drive.google.com/file/d/1RVzoDUlCx0EjAt7z6UV7djGAcYOgczo5/view?usp=sharing
Pomegranate,"Premium Egyptian frozen pomegranate seeds, IQF frozen to preserve natural sweetness, color, and freshness. Ideal for desserts, juices, and food processing.",,,Fruit,,https://drive.google.com/file/d/1sKH3KvnMgYixP7CLtBBDSaUA18OvGkx2/view?usp=sharing
Green Beans,"Egyptian frozen green beans, carefully selected and IQF frozen to maintain crisp texture, freshness, and natural flavor. Suitable for cooking and export.",,,Veggie,,https://drive.google.com/file/d/1scwd6ybvMHD9PxTGsPd1kOScX2aTIv27/view?usp=sharing
Broad Beans,"High-quality Egyptian frozen broad beans, processed and IQF frozen to preserve taste, color, and nutritional value. Ideal for traditional dishes and food service.",,,Veggie,,https://drive.google.com/file/d/1o0QN5GcYOzcYLP7iLacxvJgnOh40bjM9/view?usp=sharing
Cauliflower,"Premium Egyptian frozen cauliflower florets, harvested at peak freshness and IQF frozen to lock in nutrients, flavor, and color. Ready to cook and export-quality.",,,Veggie,,https://drive.google.com/file/d/1ZwWI1WhxIxWAVUXmCEpDgIHuYC6p8Xe5/view?usp=sharing
